OBJECTID,FEATURE_ID,FEATURE_NA,STATE_ALPH,COUNTY_NAM,PRIM_LAT_D,PRIM_LONG_,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,STATE_NUME,COUNTY_NUM,POINT_X,POINT_Y
-1,24490.000000000000000,Lebanon,AZ,Graham,32.745350000000002,-109.716189999999997,966.000000000000000,3169.000000000000000,Artesia,4.000000000000000,9.000000000000000,-1273478.387900000438094,1166940.870099999941885
-1,77464.000000000000000,Lebanon,AR,Sevier,34.106499999999997,-94.097970000000004,143.000000000000000,469.000000000000000,Dierks,5.000000000000000,133.000000000000000,174154.604499999433756,1228622.380099999718368
-1,139512.000000000000000,Lebanon,AL,Morgan,34.370370000000001,-86.970010000000002,190.000000000000000,623.000000000000000,Falkville,1.000000000000000,103.000000000000000,822821.199200000613928,1295499.246700000017881
-1,150330.000000000000000,Lebanon,AL,DeKalb,34.365920000000003,-85.815799999999996,224.000000000000000,735.000000000000000,Portersville,1.000000000000000,49.000000000000000,927667.141899999231100,1305634.493800000287592
-1,156591.000000000000000,Lebanon,AL,Cleburne,33.681220000000003,-85.374679999999998,308.000000000000000,1010.000000000000000,Tallapoosa South,1.000000000000000,29.000000000000000,976222.104800000786781,1233988.422699999995530
-1,178807.000000000000000,Lebanon,CO,Montezuma,37.457210000000003,-108.591480000000004,2034.000000000000000,6673.000000000000000,Dolores West,8.000000000000000,83.000000000000000,-1100058.448000000789762,1674974.064699999988079
-1,208424.000000000000000,Lebanon,CT,New London,41.636209999999998,-72.212580000000003,120.000000000000000,394.000000000000000,Willimantic,9.000000000000000,11.000000000000000,1946613.392299998551607,2315114.495799999684095
-1,214210.000000000000000,Lebanon,DE,Kent,39.111499999999999,-75.500479999999996,6.000000000000000,20.000000000000000,Wyoming,10.000000000000000,1.000000000000000,1742613.746899999678135,1976088.122099999338388
-1,316711.000000000000000,Lebanon,GA,Cherokee,34.142879999999998,-84.509370000000004,305.000000000000000,1001.000000000000000,South Canton,13.000000000000000,57.000000000000000,1049128.591699998825788,1294449.292700000107288
-1,426404.000000000000000,Lebanon,IL,St. Clair,38.603940000000001,-89.807320000000004,156.000000000000000,512.000000000000000,Lebanon,17.000000000000000,163.000000000000000,533858.313000001013279,1747917.918600000441074
-1,437719.000000000000000,Lebanon,IN,Boone,40.048369999999998,-86.469170000000005,287.000000000000000,942.000000000000000,Lebanon,18.000000000000000,11.000000000000000,804629.969999998807907,1932779.005599999800324
-1,458263.000000000000000,Lebanon,IA,Van Buren,40.725859999999997,-92.082400000000007,239.000000000000000,784.000000000000000,Cantril,19.000000000000000,177.000000000000000,328072.653999999165535,1975054.205900000408292
-1,458264.000000000000000,Lebanon,IA,Sioux,43.098599999999998,-96.356690000000000,416.000000000000000,1365.000000000000000,Lebanon,19.000000000000000,167.000000000000000,-28882.557399999350309,2233770.433900000527501
-1,471973.000000000000000,Lebanon,KS,Smith,39.809730000000002,-98.555620000000005,562.000000000000000,1844.000000000000000,Lebanon,20.000000000000000,183.000000000000000,-216810.490000000223517,1868572.924699999392033
-1,496130.000000000000000,Lebanon,KY,Marion,37.569789999999998,-85.252740000000003,241.000000000000000,791.000000000000000,Lebanon West,21.000000000000000,155.000000000000000,938260.669700000435114,1667718.049200000241399
